nama file,true_label,pred_label
test_n_1.jpeg,NORMAL,PNEUMONIA
test_n_10.jpeg,NORMAL,PNEUMONIA
test_n_100.jpeg,NORMAL,NORMAL
test_n_101.jpeg,NORMAL,NORMAL
test_n_102.jpeg,NORMAL,NORMAL
test_n_103.jpeg,NORMAL,PNEUMONIA
test_n_104.jpeg,NORMAL,PNEUMONIA
test_n_105.jpeg,NORMAL,NORMAL
test_n_106.jpeg,NORMAL,PNEUMONIA
test_n_107.jpeg,NORMAL,PNEUMONIA
test_n_108.jpeg,NORMAL,PNEUMONIA
test_n_109.jpeg,NORMAL,PNEUMONIA
test_n_11.jpeg,NORMAL,PNEUMONIA
test_n_110.jpeg,NORMAL,PNEUMONIA
test_n_111.jpeg,NORMAL,PNEUMONIA
test_n_112.jpeg,NORMAL,PNEUMONIA
test_n_113.jpeg,NORMAL,PNEUMONIA
test_n_114.jpeg,NORMAL,NORMAL
test_n_115.jpeg,NORMAL,PNEUMONIA
test_n_116.jpeg,NORMAL,PNEUMONIA
test_n_117.jpeg,NORMAL,PNEUMONIA
test_n_118.jpeg,NORMAL,PNEUMONIA
test_n_119.jpeg,NORMAL,PNEUMONIA
test_n_12.jpeg,NORMAL,PNEUMONIA
test_n_120.jpeg,NORMAL,PNEUMONIA
test_n_121.jpeg,NORMAL,PNEUMONIA
test_n_122.jpeg,NORMAL,PNEUMONIA
test_n_123.jpeg,NORMAL,PNEUMONIA
test_n_124.jpeg,NORMAL,PNEUMONIA
test_n_125.jpeg,NORMAL,PNEUMONIA
test_n_126.jpeg,NORMAL,PNEUMONIA
test_n_127.jpeg,NORMAL,PNEUMONIA
test_n_128.jpeg,NORMAL,NORMAL
test_n_129.jpeg,NORMAL,PNEUMONIA
test_n_13.jpeg,NORMAL,NORMAL
test_n_130.jpeg,NORMAL,PNEUMONIA
test_n_131.jpeg,NORMAL,PNEUMONIA
test_n_132.jpeg,NORMAL,PNEUMONIA
test_n_133.jpeg,NORMAL,PNEUMONIA
test_n_134.jpeg,NORMAL,PNEUMONIA
test_n_135.jpeg,NORMAL,PNEUMONIA
test_n_136.jpeg,NORMAL,PNEUMONIA
test_n_137.jpeg,NORMAL,PNEUMONIA
test_n_138.jpeg,NORMAL,PNEUMONIA
test_n_139.jpeg,NORMAL,PNEUMONIA
test_n_14.jpeg,NORMAL,NORMAL
test_n_140.jpeg,NORMAL,PNEUMONIA
test_n_141.jpeg,NORMAL,PNEUMONIA
test_n_142.jpeg,NORMAL,PNEUMONIA
test_n_143.jpeg,NORMAL,PNEUMONIA
test_n_144.jpeg,NORMAL,PNEUMONIA
test_n_145.jpeg,NORMAL,PNEUMONIA
test_n_146.jpeg,NORMAL,NORMAL
test_n_147.jpeg,NORMAL,PNEUMONIA
test_n_148.jpeg,NORMAL,PNEUMONIA
test_n_149.jpeg,NORMAL,PNEUMONIA
test_n_15.jpeg,NORMAL,NORMAL
test_n_150.jpeg,NORMAL,PNEUMONIA
test_n_151.jpeg,NORMAL,PNEUMONIA
test_n_152.jpeg,NORMAL,PNEUMONIA
test_n_153.jpeg,NORMAL,PNEUMONIA
test_n_154.jpeg,NORMAL,PNEUMONIA
test_n_155.jpeg,NORMAL,PNEUMONIA
test_n_156.jpeg,NORMAL,PNEUMONIA
test_n_157.jpeg,NORMAL,PNEUMONIA
test_n_158.jpeg,NORMAL,PNEUMONIA
test_n_159.jpeg,NORMAL,NORMAL
test_n_16.jpeg,NORMAL,NORMAL
test_n_160.jpeg,NORMAL,PNEUMONIA
test_n_161.jpeg,NORMAL,PNEUMONIA
test_n_162.jpeg,NORMAL,NORMAL
test_n_163.jpeg,NORMAL,PNEUMONIA
test_n_164.jpeg,NORMAL,PNEUMONIA
test_n_165.jpeg,NORMAL,PNEUMONIA
test_n_166.jpeg,NORMAL,PNEUMONIA
test_n_167.jpeg,NORMAL,PNEUMONIA
test_n_168.jpeg,NORMAL,PNEUMONIA
test_n_169.jpeg,NORMAL,PNEUMONIA
test_n_17.jpeg,NORMAL,PNEUMONIA
test_n_170.jpeg,NORMAL,PNEUMONIA
test_n_171.jpeg,NORMAL,PNEUMONIA
test_n_172.jpeg,NORMAL,PNEUMONIA
test_n_173.jpeg,NORMAL,PNEUMONIA
test_n_174.jpeg,NORMAL,PNEUMONIA
test_n_175.jpeg,NORMAL,PNEUMONIA
test_n_176.jpeg,NORMAL,PNEUMONIA
test_n_177.jpeg,NORMAL,PNEUMONIA
test_n_178.jpeg,NORMAL,PNEUMONIA
test_n_179.jpeg,NORMAL,PNEUMONIA
test_n_18.jpeg,NORMAL,PNEUMONIA
test_n_180.jpeg,NORMAL,PNEUMONIA
test_n_181.jpeg,NORMAL,PNEUMONIA
test_n_182.jpeg,NORMAL,PNEUMONIA
test_n_183.jpeg,NORMAL,PNEUMONIA
test_n_184.jpeg,NORMAL,PNEUMONIA
test_n_185.jpeg,NORMAL,PNEUMONIA
test_n_186.jpeg,NORMAL,PNEUMONIA
test_n_187.jpeg,NORMAL,PNEUMONIA
test_n_188.jpeg,NORMAL,PNEUMONIA
test_n_189.jpeg,NORMAL,PNEUMONIA
test_n_19.jpeg,NORMAL,NORMAL
test_n_190.jpeg,NORMAL,PNEUMONIA
test_n_191.jpeg,NORMAL,PNEUMONIA
test_n_192.jpeg,NORMAL,PNEUMONIA
test_n_193.jpeg,NORMAL,NORMAL
